"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TFIP11-DT",-0.406056132740245,0.458993197355868,-2.26430036056444,0.0254768350350046,0.999798845119145,-3.38759497750454
"RGL1",0.449932546972027,2.89241806288666,2.26236588417265,0.0255998931657196,0.999798845119145,-3.39088688769146
"YIPF3",0.369464530606967,3.84284154846708,2.26071737050492,0.0257051712157601,0.999798845119145,-3.39369018932898
"H3-5",0.405126904798817,1.20210898249744,2.26031710549635,0.0257307902864988,0.999798845119145,-3.3943705654691
"MS4A1",-0.619603941118551,3.39822840771548,-2.25892426733043,0.02582011378348,0.999798845119145,-3.39673729231548
"USP6NL",-0.301635498997121,3.12632630542917,-2.25799321654675,0.0258799740235449,0.999798845119145,-3.39831861751377
"LNCRNA-IUR",-0.339046895317195,1.57806265262193,-2.25767381063981,0.0259005376502506,0.999798845119145,-3.39886097205367
"SORD",0.299290470673731,0.902920436272753,2.25336598986706,0.0261792807101855,0.999798845119145,-3.40616899463608
"CD40LG",-0.349200928674356,1.70408827029113,-2.25270735974451,0.0262221289803365,0.999798845119145,-3.40728523072754
"STAP1",-0.660053264971564,3.61539894927202,-2.25226925298202,0.0262506647445933,0.999798845119145,-3.40802756562775
"TMBIM4",0.389283661639623,1.23894356100404,2.25164596125698,0.0262913092641978,0.999798845119145,-3.40908345824511
"CCNE2",0.424498081132475,1.06617151866089,2.25072862523289,0.0263512284945607,0.999798845119145,-3.41063700360209
"IGHV4-4",-0.711905871322126,1.04836541103269,-2.24843562111875,0.0265015279251977,0.999798845119145,-3.41451782089346
"TTC13",0.335372714443293,3.11919926874552,2.24433865128143,0.026771940869048,0.999798845119145,-3.42144296480175
"IGHV3-20",-0.755443430278783,1.05284266307759,-2.24355493374658,0.0268239429410626,0.999798845119145,-3.42276640130096
"IGHM",-0.62785820521089,6.163761327041,-2.24216758243006,0.0269162147176494,0.999798845119145,-3.42510815852309
